City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
116,fort nelson,CA,49.59,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
117,agadir,MA,70.25,clear sky,30.4202,-9.5982,Iberostar Founty Beach
119,marsa matruh,EG,68.2,clear sky,31.3525,27.2453,Beau Site
120,bethel,US,72.18,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
121,havre-saint-pierre,CA,46.76,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
128,prince albert,CA,44.55,broken clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
129,goderich,CA,53.92,overcast clouds,43.7501,-81.7165,Harmony Inn
130,carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
131,sorland,NO,40.98,light rain,67.667,12.6934,Sjybrygga fiskecamp
132,vao,NC,75.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
133,ostroleka,PL,47.93,overcast clouds,53.0862,21.5757,Pokoje Gościnne WSAP
134,esperance,AU,53.44,clear sky,-33.8667,121.9,Hospitality Esperance
135,forbes,AU,45.91,clear sky,-33.3833,148.0167,Lake Forbes Motel
136,batemans bay,AU,53.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
138,grand gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
139,babanusah,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
140,fairbanks,US,53.31,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
142,chapais,CA,55.18,broken clouds,49.7834,-74.8492,Hôtel Opémiska
145,lavumisa,SZ,58.78,clear sky,-27.31,31.892,ROADSIDE B&B
147,edson,CA,42.94,overcast clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
150,kaeo,NZ,56.32,overcast clouds,-35.1,173.7833,Bushido Lodge
152,itoman,JP,64.42,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
153,chiang khong,TH,71.92,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
154,tautira,PF,79.74,light rain,-17.7333,-149.15,Pension Oaoa
155,mareeba,AU,68.72,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
157,saint-philippe,RE,74.79,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,mys shmidta,RE,74.79,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
159,nouadhibou,MR,69.78,dust,20.931,-17.0347,El Medina
160,bengkulu,ID,76.53,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
166,siteki,SZ,54.52,clear sky,-26.45,31.95,Siteki Hotel
167,falesti,MD,54.01,few clouds,47.5736,27.7092,Hotel Milania
168,hovd,MN,54.97,overcast clouds,48.0056,91.6419,Hotel Khovd
172,samarai,PG,79.92,scattered clouds,-10.6167,150.6667,Nuli Sapi
173,portland,US,63.61,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
175,cidreira,BR,65.64,overcast clouds,-30.1811,-50.2056,Hotel Castelo
176,derzhavinsk,KZ,49.51,scattered clouds,51.1,66.3167,Ooo.khim Baza
182,kepno,PL,51.58,overcast clouds,51.2784,17.9891,Gawra
183,jamestown,US,53.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
185,kirakira,SB,79.56,moderate rain,-10.4544,161.9205,SanBiz Lodge
186,lebu,CL,54.95,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
187,honiara,SB,78.39,moderate rain,-9.4333,159.95,Heritage Park Hotel
188,north bend,US,65.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
192,yining,CN,52.63,overcast clouds,29.0361,114.5636,Xiushui Hotel
196,nikolskoye,RU,42.69,scattered clouds,59.7035,30.7861,Tourist House - Sablino
198,praia da vitoria,PT,64.76,broken clouds,38.7333,-27.0667,Hotel Branco I
199,urdzhar,PT,64.76,broken clouds,38.7333,-27.0667,Hotel Branco I
200,aklavik,CA,44.6,scattered clouds,68.2191,-135.0107,Aklavik Inn
201,geraldton,AU,54.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
