City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,wuda,CN,2022-05-01 19:57:22,39.4994,106.7117,51.53,16,16,3.83,few clouds
61,tasiilaq,GL,2022-05-01 19:49:29,65.6145,-37.6368,32.16,59,87,10.45,overcast clouds
62,kapaa,US,2022-05-01 19:57:23,22.0752,-159.319,80.58,80,75,20.71,broken clouds
63,cape town,ZA,2022-05-01 19:55:43,-33.9258,18.4232,61.88,78,0,9.22,clear sky
64,casablanca,MA,2022-05-01 19:56:19,33.5928,-7.6192,68.34,64,20,6.91,few clouds
65,nanortalik,GL,2022-05-01 19:57:23,60.1432,-45.2371,37.92,85,100,4.32,overcast clouds
66,vanimo,PG,2022-05-01 19:57:24,-2.6741,141.3028,76.96,90,96,4.63,overcast clouds
67,constantine,DZ,2022-05-01 19:53:16,36.365,6.6147,56.61,67,40,4.61,scattered clouds
68,bajos de haina,DO,2022-05-01 19:56:26,18.4154,-70.0332,75.16,93,100,5.75,overcast clouds
69,bouna,CI,2022-05-01 19:57:24,9.2667,-3.0,85.48,45,44,4.18,scattered clouds
70,mount gambier,AU,2022-05-01 19:57:25,-37.8333,140.7667,57.11,100,100,9.22,overcast clouds
71,mar del plata,AR,2022-05-01 19:56:27,-38.0023,-57.5575,55.42,74,75,12.66,broken clouds
72,peterhead,GB,2022-05-01 19:57:25,57.5058,-1.7981,54.45,92,99,10.42,overcast clouds
73,lolua,GB,2022-05-01 19:57:25,57.5058,-1.7981,54.45,92,99,10.42,overcast clouds
74,torbay,CA,2022-05-01 19:47:59,47.6666,-52.7314,50.77,71,75,5.75,broken clouds
75,karamay,CA,2022-05-01 19:47:59,47.6666,-52.7314,50.77,71,75,5.75,broken clouds
76,flinders,AU,2022-05-01 19:47:28,-34.5833,150.8552,54.18,91,12,3.0,few clouds
77,asfi,MA,2022-05-01 19:57:26,32.2994,-9.2372,64.18,82,0,15.19,clear sky
78,east london,ZA,2022-05-01 19:57:26,-33.0153,27.9116,62.96,76,0,8.5,clear sky
79,skegness,GB,2022-05-01 19:57:27,53.1436,0.3363,54.05,86,100,5.32,overcast clouds
80,tabiauea,GB,2022-05-01 19:57:27,53.1436,0.3363,54.05,86,100,5.32,overcast clouds
81,luau,AO,2022-05-01 19:57:27,-10.7073,22.2247,64.42,66,21,5.26,few clouds
82,palabuhanratu,AO,2022-05-01 19:57:27,-10.7073,22.2247,64.42,66,21,5.26,few clouds
83,labrea,BR,2022-05-01 19:57:28,-7.2586,-64.7981,78.82,90,100,2.53,overcast clouds
84,olafsvik,IS,2022-05-01 19:57:28,64.8945,-23.7142,36.54,61,17,18.5,few clouds
85,mayo,US,2022-05-01 19:57:29,38.8876,-76.5119,62.56,85,100,10.36,heavy intensity rain
86,taolanaro,US,2022-05-01 19:57:29,38.8876,-76.5119,62.56,85,100,10.36,heavy intensity rain
87,mahebourg,MU,2022-05-01 19:47:53,-20.4081,57.7,75.49,88,75,3.44,broken clouds
88,japura,ID,2022-05-01 19:57:29,-0.3167,102.35,73.99,96,100,1.52,moderate rain
89,acarau,BR,2022-05-01 19:57:30,-2.8856,-40.12,80.98,80,88,14.45,overcast clouds
90,mayya,RU,2022-05-01 19:57:30,61.7333,130.2811,33.12,82,72,10.33,broken clouds
91,hobart,AU,2022-05-01 19:57:30,-42.8794,147.3294,59.25,78,79,5.75,broken clouds
92,iracoubo,GF,2022-05-01 19:57:31,5.4802,-53.2011,80.91,77,30,11.16,scattered clouds
93,kununurra,AU,2022-05-01 19:57:31,-15.7667,128.7333,78.78,47,57,10.36,broken clouds
94,kruisfontein,ZA,2022-05-01 19:49:08,-34.0033,24.7314,55.89,92,0,5.14,clear sky
95,ixtapa,MX,2022-05-01 19:57:09,20.7,-105.2,92.44,26,50,9.26,scattered clouds
96,port alfred,ZA,2022-05-01 19:57:32,-33.5906,26.891,58.17,91,2,1.01,clear sky
97,atuona,PF,2022-05-01 19:57:32,-9.8,-139.0333,78.67,80,100,14.16,light rain
98,ankazobe,MG,2022-05-01 19:57:33,-18.3167,47.1167,62.08,83,7,3.24,clear sky
99,stoyba,MG,2022-05-01 19:57:33,-18.3167,47.1167,62.08,83,7,3.24,clear sky
100,mehamn,NO,2022-05-01 19:57:33,71.0357,27.8492,22.91,70,64,5.84,broken clouds
101,el sauzal,MX,2022-05-01 19:57:33,31.9,-116.6833,64.42,76,41,10.11,scattered clouds
102,hermanus,ZA,2022-05-01 19:57:34,-34.4187,19.2345,57.79,88,4,9.95,clear sky
103,kavieng,PG,2022-05-01 19:57:34,-2.5744,150.7967,81.9,76,43,7.67,scattered clouds
104,machaneng,BW,2022-05-01 19:57:35,-23.1862,27.4886,67.46,57,51,14.32,broken clouds
105,labutta,BW,2022-05-01 19:57:35,-23.1862,27.4886,67.46,57,51,14.32,broken clouds
106,rudnya,RU,2022-05-01 19:57:35,54.947,31.0934,42.93,58,99,3.89,overcast clouds
107,puerto escondido,MX,2022-05-01 19:53:20,15.85,-97.0667,88.63,62,40,8.05,scattered clouds
108,coihaique,CL,2022-05-01 19:56:06,-45.5752,-72.0662,54.21,66,75,4.61,broken clouds
109,beyneu,KZ,2022-05-01 19:57:36,45.3167,55.2,66.38,46,19,18.9,few clouds
110,tucuman,AR,2022-05-01 19:54:18,-26.8241,-65.2226,66.2,59,75,9.22,broken clouds
111,xining,CN,2022-05-01 19:56:04,36.6167,101.7667,35.51,68,3,2.82,clear sky
112,new norfolk,AU,2022-05-01 19:57:36,-42.7826,147.0587,58.91,78,84,1.01,broken clouds
113,kloulklubed,PW,2022-05-01 19:57:37,7.0419,134.2556,77.5,79,100,15.48,overcast clouds
114,severo-kurilsk,RU,2022-05-01 19:48:10,50.6789,156.125,34.34,86,80,10.09,broken clouds
115,dikson,RU,2022-05-01 19:47:49,73.5069,80.5464,7.54,99,100,11.05,overcast clouds
116,fort nelson,CA,2022-05-01 19:57:37,58.8053,-122.7002,49.59,46,20,13.8,few clouds
117,agadir,MA,2022-05-01 19:57:38,30.4202,-9.5982,70.25,57,0,3.71,clear sky
118,akyab,MM,2022-05-01 19:57:38,20.15,92.9,81.07,80,7,13.04,clear sky
119,marsa matruh,EG,2022-05-01 19:57:39,31.3525,27.2453,68.2,64,0,9.22,clear sky
120,bethel,US,2022-05-01 19:57:39,41.3712,-73.414,72.18,35,99,1.99,overcast clouds
121,havre-saint-pierre,CA,2022-05-01 19:57:39,50.2334,-63.5986,46.76,53,100,20.71,overcast clouds
122,yertarskiy,RU,2022-05-01 19:57:40,56.7902,64.2995,40.89,86,94,7.11,overcast clouds
123,srednekolymsk,RU,2022-05-01 19:57:40,67.45,153.6833,31.23,89,100,1.99,overcast clouds
124,attawapiskat,RU,2022-05-01 19:57:40,67.45,153.6833,31.23,89,100,1.99,overcast clouds
125,karkaralinsk,RU,2022-05-01 19:57:40,67.45,153.6833,31.23,89,100,1.99,overcast clouds
126,marcona,RU,2022-05-01 19:57:40,67.45,153.6833,31.23,89,100,1.99,overcast clouds
127,georgetown,MY,2022-05-01 19:47:49,5.4112,100.3354,82.33,93,20,2.3,few clouds
128,prince albert,CA,2022-05-01 19:55:31,53.2001,-105.7677,44.55,57,75,10.36,broken clouds
129,goderich,CA,2022-05-01 19:47:43,43.7501,-81.7165,53.92,76,100,18.41,overcast clouds
130,carnarvon,AU,2022-05-01 19:57:41,-24.8667,113.6333,62.67,82,0,4.61,clear sky
131,sorland,NO,2022-05-01 19:57:42,67.667,12.6934,40.98,79,100,23.13,light rain
132,vao,NC,2022-05-01 19:57:42,-22.6667,167.4833,75.85,86,71,20.87,broken clouds
133,ostroleka,PL,2022-05-01 19:57:42,53.0862,21.5757,47.93,83,100,8.21,overcast clouds
134,esperance,AU,2022-05-01 19:49:28,-33.8667,121.9,53.44,69,0,5.75,clear sky
135,forbes,AU,2022-05-01 19:57:43,-33.3833,148.0167,45.91,82,0,5.01,clear sky
136,batemans bay,AU,2022-05-01 19:57:43,-35.7167,150.1833,53.1,76,8,4.16,clear sky
137,novyy urengoy,RU,2022-05-01 19:57:44,66.0833,76.6333,21.49,96,100,5.23,overcast clouds
138,grand gaube,MU,2022-05-01 19:47:50,-20.0064,57.6608,75.6,82,9,3.0,clear sky
139,babanusah,MU,2022-05-01 19:47:50,-20.0064,57.6608,75.6,82,9,3.0,clear sky
140,fairbanks,US,2022-05-01 19:55:32,64.8378,-147.7164,53.31,39,100,1.01,overcast clouds
141,airai,TL,2022-05-01 19:49:10,-8.9266,125.4092,58.03,86,66,3.44,broken clouds
142,chapais,CA,2022-05-01 19:57:44,49.7834,-74.8492,55.18,64,67,8.14,broken clouds
143,pangody,RU,2022-05-01 19:57:45,65.85,74.4859,19.17,97,100,3.65,overcast clouds
144,quetzaltepec,RU,2022-05-01 19:57:45,65.85,74.4859,19.17,97,100,3.65,overcast clouds
145,lavumisa,SZ,2022-05-01 19:57:45,-27.31,31.892,58.78,75,0,2.53,clear sky
146,kutum,SD,2022-05-01 19:57:46,14.2,24.6667,82.71,9,42,8.28,scattered clouds
147,edson,CA,2022-05-01 19:57:46,53.5835,-116.4356,42.94,93,100,1.14,overcast clouds
148,mexticacan,MX,2022-05-01 19:57:47,21.2654,-102.7798,87.42,9,94,13.62,overcast clouds
149,andenes,NO,2022-05-01 19:57:47,69.3143,16.1194,33.78,100,75,14.97,broken clouds
150,kaeo,NZ,2022-05-01 19:57:47,-35.1,173.7833,56.32,97,99,6.69,overcast clouds
151,mahibadhoo,MV,2022-05-01 19:57:48,3.7833,72.9667,85.32,75,100,21.21,overcast clouds
152,itoman,JP,2022-05-01 19:57:48,26.1247,127.6694,64.42,82,100,18.41,light rain
153,chiang khong,TH,2022-05-01 19:57:49,20.2613,100.4046,71.92,96,86,2.86,overcast clouds
154,tautira,PF,2022-05-01 19:57:49,-17.7333,-149.15,79.74,74,57,8.12,light rain
155,mareeba,AU,2022-05-01 19:57:49,-17.0,145.4333,68.72,95,69,1.3,broken clouds
156,thompson,CA,2022-05-01 19:53:25,55.7435,-97.8558,28.56,80,100,12.66,overcast clouds
157,saint-philippe,RE,2022-05-01 19:57:50,-21.3585,55.7679,74.79,83,3,2.59,clear sky
158,mys shmidta,RE,2022-05-01 19:57:50,-21.3585,55.7679,74.79,83,3,2.59,clear sky
159,nouadhibou,MR,2022-05-01 19:57:50,20.931,-17.0347,69.78,78,0,19.57,dust
160,bengkulu,ID,2022-05-01 19:57:51,-3.8004,102.2655,76.53,88,100,4.41,moderate rain
161,salalah,OM,2022-05-01 19:49:14,17.0151,54.0924,86.09,84,40,6.91,scattered clouds
162,vila velha,BR,2022-05-01 19:49:33,-20.3297,-40.2925,85.95,64,0,8.05,clear sky
163,samusu,BR,2022-05-01 19:49:33,-20.3297,-40.2925,85.95,64,0,8.05,clear sky
164,havelock,US,2022-05-01 19:55:42,34.8791,-76.9013,82.35,68,40,14.97,scattered clouds
165,vsevolodo-vilva,US,2022-05-01 19:55:42,34.8791,-76.9013,82.35,68,40,14.97,scattered clouds
166,siteki,SZ,2022-05-01 19:57:52,-26.45,31.95,54.52,85,0,1.63,clear sky
167,falesti,MD,2022-05-01 19:57:52,47.5736,27.7092,54.01,71,21,5.59,few clouds
168,hovd,MN,2022-05-01 19:57:52,48.0056,91.6419,54.97,21,100,8.21,overcast clouds
169,usolye,RU,2022-05-01 19:57:53,59.4268,56.6808,23.56,96,16,3.11,few clouds
170,conde,BR,2022-05-01 19:57:53,-7.2597,-34.9075,83.66,74,75,12.66,broken clouds
171,vostok,RU,2022-05-01 19:57:54,46.4856,135.8833,28.31,89,96,2.95,overcast clouds
172,samarai,PG,2022-05-01 19:57:54,-10.6167,150.6667,79.92,81,37,7.92,scattered clouds
173,portland,US,2022-05-01 19:57:07,45.5234,-122.6762,63.61,67,95,3.0,overcast clouds
174,tomatlan,MX,2022-05-01 19:57:55,19.9333,-105.25,89.33,35,22,10.94,few clouds
175,cidreira,BR,2022-05-01 19:57:55,-30.1811,-50.2056,65.64,74,100,8.55,overcast clouds
176,derzhavinsk,KZ,2022-05-01 19:57:55,51.1,66.3167,49.51,72,44,10.98,scattered clouds
177,qaanaaq,GL,2022-05-01 19:57:56,77.484,-69.3632,12.43,72,20,2.93,few clouds
